university_province,university,name
ZA-WC,Production Management Institute of Southern Africa PTY LTD / PMI,Bellville
ZA-EC,Production Management Institute of Southern Africa PTY LTD / PMI,East London
ZA-GT,Production Management Institute of Southern Africa PTY LTD / PMI,Johannesburg
ZA-EC,Production Management Institute of Southern Africa PTY LTD / PMI,Uitenhage
ZA-NL,Production Management Institute of Southern Africa PTY LTD / PMI (HEAD OFFICE),Durban
ZA-WC,Red and Yellow Creative School of Business,Cape Town
ZA-GT,Red and Yellow Creative School of Business,Johannesburg
ZA-NL,Regent Business School (Pty) Ltd,Durban
ZA-GT,Regent Business School (Pty) Ltd (Learning Centre),Auckland Park
ZA-EC,Regent Business School (Pty) Ltd (Learning Centre),East London
ZA-GT,Regent Business School (Pty) Ltd (Learning Centre),Pretoria
ZA-WC,Regent Business School (Pty) Ltd (Learning Centre),Woodstock
ZA-GT,Richfield Graduate School,Benoni
ZA-FS,Richfield Graduate School,Bloemfontein
ZA-GT,Richfield Graduate School,Braamfontein
ZA-GT,Richfield Graduate School,Braamfontein
ZA-WC,Richfield Graduate School,Cape Town
ZA-NL,Richfield Graduate School,Durban
ZA-NL,Richfield Graduate School,Durban
ZA-NL,Richfield Graduate School,Durban
ZA-NL,Richfield Graduate School,Durban
ZA-MP,Richfield Graduate School,eMalahleni
ZA-GT,Richfield Graduate School,Johannesburg
ZA-GT,Richfield Graduate School,Johannesburg
ZA-GT,Richfield Graduate School,Johannesburg
ZA-GT,Richfield Graduate School,Kempton Park
ZA-GT,Richfield Graduate School,Kempton Park
ZA-GT,Richfield Graduate School,Krugersdorp
ZA-NL,Richfield Graduate School,Ladysmith
ZA-LP,Richfield Graduate School,Mankweng
ZA-MP,Richfield Graduate School,Mbombela
ZA-MP,Richfield Graduate School,Middelburg
ZA-GT,Richfield Graduate School,Midrand
ZA-FS,Richfield Graduate School,Phuthaditjhaba
ZA-NL,Richfield Graduate School,Pietermarirzburg
ZA-NL,Richfield Graduate School,Pinetown
ZA-LP,Richfield Graduate School,Polokwane
ZA-LP,Richfield Graduate School,Polokwane
ZA-GT,Richfield Graduate School,Pretoria
ZA-GT,Richfield Graduate School,Pretoria
ZA-GT,Richfield Graduate School,Pretoria
ZA-GT,Richfield Graduate School,Pretoria
ZA-GT,Richfield Graduate School,Pretoria
ZA-GT,Richfield Graduate School,Pretoria
ZA-GT,Richfield Graduate School,Randburg
ZA-NL,Richfield Graduate School,Richareds Bay
ZA-NW,Richfield Graduate School,Rustenburg
ZA-LP,Richfield Graduate School,Thohoyandou
ZA-NL,Richfield Graduate School,Umhlanga
ZA-GT,Richfield Graduate School,Vereeniging
ZA-WC,Ruth Prowse School of Art NPC,Woodstock
ZA-GT,SANTS,Pretoria
ZA-NL,Seth Mokitimi Methodist Seminary (NPC),Pietermaritzburg
ZA-WC,South African College of Applied Psychology (SACAP),Cape Town
ZA-NL,South African College of Applied Psychology (SACAP),Durban
ZA-GT,South African College of Applied Psychology (SACAP),Johannesburg
ZA-GT,South African College of Applied Psychology (SACAP),Pretoria
ZA-GT,South African Theological Seminary,Sandton
ZA-GT,Southern Africa Bible College NPC,Benoni
ZA-WC,Southern African Wildlife College NPC,Stellenbosch
ZA-GT,ST Augustine College of  South Africa,Johannesburg
ZA-GT,St John Vianney Seminary,Pretoria
ZA-NL,St Joseph’s Theological Institute NPC,Cedara
ZA-WC,STADIO AFDA,Capetown
ZA-NL,STADIO AFDA,Durban
ZA-GT,STADIO AFDA,Johannesburg
ZA-EC,STADIO AFDA,Port Elizabeth
ZA-NL,STADIO Embury (Stadio School of Education),Durban
ZA-GT,STADIO Embury (Stadio School of Education),Midrand
ZA-GT,STADIO Embury (Stadio School of Education),Pretoria
ZA-GT,STADIO LISOF,Hatfield
ZA-GT,STADIO LISOF,Randburg
ZA-GT,STADIO Milpark Education,Auckland Park
ZA-WC,STADIO Milpark Education,Cape Town
ZA-WC,STADIO Prestige Academy,Belville
ZA-GT,STADIO Prestige Academy,Centurion
ZA-GT,STADIO Southern Business School,Krugersdorp
ZA-WC,Stellenbosch Academy of Design and Photography (Pty) Ltd,Stellenbosch
ZA-EC,Stenden,Port Alfred
ZA-WC,The Animation School,Cape Town
ZA-GT,The Animation School,Johannesburg Campus
ZA-GT,The Da Vinci Institute for Technology Management (Pty) Ltd,Johannesburg
ZA-WC,The Fashion Institute of Garment Technology (Cape Town College of Fashion Design),Mobray
ZA-GT,The International Hotel School (Pty) Ltd, Pretoria
ZA-WC,The International Hotel School (Pty) Ltd,Cape Town
ZA-NL,The International Hotel School (Pty) Ltd,Durban
ZA-GT,The International Hotel School (Pty) Ltd,Johannesburg
ZA-NL,The International Hotel School (Pty) Ltd,Umhlanga
ZA-GT,The Open Window (Pty) Ltd,Main campus
ZA-NW,The South African Academy for Hair and Skincare Technology,Potchefstroom
ZA-GT,Theological Education by Extension College NPC (Distance only),Johanesburg
ZA-GT,TSIBA Education NPC,Newtown
